Lap,LapTime,Position,PositionChange,Incidents,FuelUsed,AvgSpeed_kmh,MaxSpeed_kmh,AvgThrottle,AvgBrake,GearShifts
1,,0,0,1,1.027,145.0,191.1,74.3,6.2,30
2,,0,0,0,1.037,145.8,190.9,76.1,6.2,34
3,,0,0,-2,-3.106,83.8,170.8,5.1,41.7,3
1,,0,-1,0,1.068,139.7,190.1,76.0,5.2,32
2,111.858,1,0,0,1.022,144.3,188.2,73.4,6.6,30
3,106.914,1,0,0,1.019,145.3,189.6,74.0,6.4,30
4,106.311,1,0,0,1.042,145.3,190.4,76.1,6.9,29
5,106.206,1,0,0,1.032,145.1,189.7,74.7,6.6,31
6,106.364,1,0,0,1.038,145.9,189.6,75.6,6.8,29
7,105.867,1,0,0,1.027,145.6,190.4,74.9,6.6,33
