Lap,LapTime,Position,PositionChange,Incidents,FuelUsed,AvgSpeed_kmh,MaxSpeed_kmh,AvgThrottle,AvgBrake,GearShifts
1,,,0,0,0.142,19.3,32.2,9.1,98.8,1
2,,1,0,0,1.247,185.8,243.1,87.6,2.9,26
3,79.674,1,0,0,1.187,198.0,243.8,88.6,2.9,24
4,73.627,1,0,0,1.176,197.1,243.5,87.4,2.9,26
5,73.923,1,0,0,1.196,197.2,243.8,88.9,3.0,26
6,73.981,1,0,0,1.192,196.8,242.9,88.5,3.1,26
7,74.027,1,0,0,1.183,197.8,243.1,88.1,2.8,24
8,73.794,1,0,0,1.172,198.2,243.1,87.5,2.5,22
9,73.627,1,0,0,1.178,197.4,243.1,87.7,2.7,23
10,73.855,1,0,0,1.179,197.9,244.1,88.1,2.8,27
11,73.711,1,0,0,1.181,197.5,243.3,87.9,2.8,24
12,73.884,1,0,0,1.174,197.3,243.4,87.5,2.8,29
13,73.884,1,0,0,1.168,197.3,244.0,86.9,2.7,29
14,73.885,1,0,0,1.182,197.9,243.7,88.0,2.9,24
15,73.689,1,0,0,1.176,196.8,243.3,87.2,2.9,23
16,74.144,1,0,0,1.175,197.0,243.4,87.2,2.9,24
17,74.031,1,0,0,1.172,197.1,243.5,87.2,2.8,23
18,73.983,1,0,0,1.148,195.4,243.6,84.8,2.7,23
